-nan -nan
0.250 0.250
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.250 -nan
0.250 -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.750 0.750
0.750 0.750
1.000 1.000
1.000 0.750
0.667 1.000
0.500 0.450
0.750 0.750
1.000 1.000
1.000 1.000
0.500 0.500
0.500 0.250
0.750 0.500
0.500 0.500
1.000 0.500
0.900 0.735
0.500 0.500
1.000 1.000
1.000 1.000
1.000 1.000
0.500 0.500
0.750 0.750
1.000 1.000
1.000 1.000
1.000 1.000
0.500 0.500
1.000 1.000
1.000 1.000
0.500 0.500
0.500 0.500
1.000 1.000
1.000 1.000
0.750 0.750
1.000 0.750
0.500 0.750
1.000 1.000
0.750 0.750
0.750 0.500
0.750 0.750
0.500 0.750
0.750 0.750
1.000 1.000
0.750 0.750
0.750 0.500
0.500 0.750
0.750 0.750
0.750 0.750
0.500 0.500
0.250 -nan
1.000 0.500
0.893 0.500
0.250 0.250
0.893 0.500
0.500 0.500
0.750 0.500
0.893 0.645
0.750 0.500
0.250 0.500
0.750 0.750
0.750 0.500
0.500 0.250
0.893 0.750
0.750 0.454
0.645 0.645
0.568 0.400
0.346 0.454
0.519 0.519
0.519 0.421
0.368 0.500
0.645 0.750
0.400 0.368
0.568 0.568
0.667 0.667
0.568 0.400
0.400 0.450
0.667 0.400
0.694 0.583
0.893 0.667
0.450 0.450
0.667 0.450
0.694 0.583
0.667 0.667
1.000 0.750
0.667 0.667
0.893 0.667
0.500 0.500
0.694 0.450
1.000 0.750
0.694 0.583
1.000 1.000
0.893 0.893
0.750 0.750
0.500 0.250
0.893 0.667
0.750 0.645
0.893 0.667
0.750 0.667
0.750 1.000
1.000 1.000
0.667 0.667
0.893 0.893
0.750 0.750
1.000 1.000
0.750 0.750
0.750 0.750
0.667 0.500
0.400 0.450
1.000 0.750
1.000 0.750
0.667 0.500
0.893 0.893
0.750 0.750
0.750 0.750
0.893 0.893
1.000 1.000
0.750 0.750
1.000 1.000
0.893 0.667
0.750 1.000
0.750 0.750
1.000 0.750
0.750 1.000
1.000 1.000
0.750 0.750
1.000 1.000
0.893 1.000
0.500 0.450
1.000 1.000
0.500 0.500
1.000 1.000
1.000 1.000
0.500 0.500
1.000 1.000
1.000 1.000
0.750 0.750
1.000 1.000
0.250 0.250
1.000 1.000
1.000 1.000
0.750 0.750
0.750 0.750
0.500 0.500
0.750 0.750
1.000 1.000
0.500 0.500
0.750 0.750
0.750 0.500
1.000 0.500
0.250 0.368
1.000 1.000
1.000 1.000
0.750 0.500
0.500 0.750
0.750 0.750
0.750 0.750
0.500 0.250
0.450 0.500
1.000 0.450
0.750 0.500
0.450 0.368
0.893 0.750
0.667 0.500
0.500 0.397
0.571 0.645
0.750 0.645
0.400 0.400
0.750 0.750
0.750 0.893
0.450 0.400
0.893 0.893
0.667 0.667
0.568 0.450
0.667 0.400
0.900 0.727
0.667 0.667
0.500 0.500
0.893 0.450
0.667 0.667
0.893 0.500
0.450 0.667
0.900 0.893
0.750 0.667
0.667 0.667
0.750 0.750
0.450 0.250
0.893 0.645
0.893 0.893
0.450 0.450
1.000 1.000
0.667 0.667
0.450 0.450
0.893 0.667
0.667 0.500
0.893 0.667
0.750 0.645
0.667 0.667
1.000 1.000
0.667 0.667
1.000 1.000
0.667 0.667
0.750 0.750
0.893 1.000
0.750 0.667
1.000 1.000
0.750 0.750
0.750 0.750
0.667 0.667
0.750 0.750
1.000 1.000
0.750 0.750
0.667 0.667
1.000 1.000
0.750 0.750
1.000 1.000
0.250 0.250
0.750 0.750
0.750 0.500
1.000 0.750
0.450 0.368
1.000 1.000
0.893 0.667
0.750 1.000
0.750 0.750
0.750 0.750
1.000 1.000
0.750 0.500
0.500 0.750
0.750 0.750
0.750 0.750
0.500 0.500
1.000 0.750
0.750 0.500
0.893 0.645
1.000 1.000
0.250 0.250
1.000 1.000
0.750 0.750
1.000 1.000
0.750 0.750
0.750 0.750
0.750 0.750
0.750 0.750
0.750 0.750
0.500 0.500
0.750 0.500
1.000 0.750
0.667 0.500
1.000 1.000
0.500 0.500
0.750 0.750
0.750 0.750
1.000 1.000
0.750 0.750
0.750 0.750
0.500 0.500
1.000 1.000
0.750 0.750
0.667 0.667
0.750 0.750
0.750 0.750
0.750 0.750
1.000 0.750
0.250 0.500
0.750 0.750
0.750 0.750
1.000 1.000
0.500 0.500
0.750 0.750
0.750 0.750
0.750 0.750
0.500 0.500
1.000 1.000
0.750 0.750
0.500 0.500
0.500 0.250
0.750 0.750
0.450 0.250
0.893 0.454
0.500 0.750
1.000 1.000
0.500 0.500
0.750 0.500
0.750 1.000
0.500 0.500
0.750 0.750
0.750 0.750
0.750 0.750
0.500 0.500
1.000 1.000
0.500 0.500
0.750 0.750
0.750 0.750
0.500 0.500
0.500 0.500
1.000 0.250
0.500 0.750
0.500 0.500
0.667 0.368
0.500 0.750
1.000 0.750
0.250 0.250
1.000 0.750
0.750 0.750
0.667 0.368
0.500 0.750
0.500 0.500
1.000 1.000
0.750 0.750
0.500 0.500
0.750 0.500
0.500 0.500
0.500 0.500
1.000 0.750
0.750 0.500
0.750 0.500
1.000 1.000
0.500 0.500
0.500 0.500
0.500 0.500
1.000 1.000
0.750 0.500
0.500 0.500
0.750 1.000
0.500 0.500
1.000 0.750
0.250 0.500
0.750 0.750
0.750 0.500
0.500 0.750
1.000 1.000
0.500 0.500
0.500 0.500
0.500 0.500
1.000 1.000
0.250 -nan
0.750 1.000
1.000 1.000
