+0ns +2.49876e+07ns +0ns +1.32269e+06ns +3.40018e+08ns +0ns +0ns
+0ns +6.5975e+07ns +0ns +908352ns +3.92384e+08ns +9.37037e+06ns +0ns
+0ns +9.97275e+07ns +0ns +3.02784e+06ns +4.58957e+08ns +4.10352e+07ns +0ns
+0ns +1.16014e+08ns +0ns +4.08758e+06ns +5.43481e+08ns +9.88032e+06ns +0ns
+0ns +8.99109e+07ns +0ns +908352ns +4.47849e+08ns +1.48205e+07ns +0ns
+0ns +1.483e+08ns +0ns +39840ns +4.35005e+08ns +2.52426e+07ns +0ns
+0ns +1.07648e+08ns +0ns +0ns +4.64622e+08ns +6.33615e+07ns +0ns
+0ns +1.37536e+08ns +0ns +2.07168e+06ns +4.61618e+08ns +1.30444e+08ns +0ns
+0ns +1.2207e+08ns +0ns +2.5896e+06ns +5.08956e+08ns +1.52858e+08ns +0ns
+0ns +1.25894e+08ns +0ns +517920ns +5.02048e+08ns +1.48539e+08ns +0ns
+0ns +1.35249e+08ns +0ns +0ns +5.34852e+08ns +1.37974e+08ns +0ns
+0ns +1.39496e+08ns +0ns +1.50595e+06ns +5.17737e+08ns +1.11425e+08ns +0ns
+0ns +1.09321e+08ns +0ns +1.22707e+07ns +6.62938e+08ns +5.28278e+07ns +0ns
+0ns +9.05165e+07ns +0ns +4.0326e+07ns +7.06291e+08ns +1.79121e+07ns +0ns
+0ns +7.25008e+07ns +0ns +5.8007e+07ns +7.68115e+08ns +9.20304e+06ns +0ns
+0ns +9.37356e+07ns +0ns +2.72506e+07ns +7.56346e+08ns +2.12108e+07ns +0ns
+0ns +1.23488e+08ns +0ns +1.10755e+07ns +6.83407e+08ns +2.85892e+07ns +0ns
+0ns +1.196e+08ns +0ns +1.97447e+07ns +5.52852e+08ns +5.91943e+07ns +0ns
+0ns +1.10532e+08ns +0ns +2.57526e+07ns +5.93297e+08ns +8.83492e+07ns +0ns
+0ns +1.02134e+08ns +0ns +3.92105e+07ns +6.20675e+08ns +1.09672e+08ns +0ns
+0ns +8.89866e+07ns +0ns +3.71946e+07ns +7.45518e+08ns +9.79427e+07ns +0ns
+0ns +1.13424e+08ns +0ns +4.36168e+07ns +7.29231e+08ns +1.0811e+08ns +0ns
+0ns +1.22508e+08ns +0ns +6.69312e+07ns +7.50968e+08ns +6.99431e+07ns +0ns
+0ns +1.4991e+08ns +0ns +3.32186e+07ns +7.78912e+08ns +5.03896e+07ns +0ns
+0ns +1.60173e+08ns +0ns +4.5059e+07ns +7.88043e+08ns +4.26686e+07ns +0ns
+0ns +1.09385e+08ns +0ns +2.988e+07ns +8.90504e+08ns +3.01509e+07ns +0ns
+0ns +1.36229e+08ns +0ns +2.2151e+07ns +8.00545e+08ns +3.59516e+07ns +0ns
+0ns +1.2058e+08ns +0ns +2.88999e+07ns +8.60568e+08ns +4.74096e+07ns +0ns
+0ns +9.17754e+07ns +0ns +2.42227e+06ns +8.86392e+08ns +4.62542e+07ns +0ns
+0ns +4.90032e+07ns +0ns +3.48202e+07ns +8.87508e+08ns +5.84851e+07ns +0ns
+0ns +6.66125e+07ns +0ns +3.42783e+07ns +9.20232e+08ns +4.52981e+07ns +0ns
+0ns +3.84297e+07ns +0ns +8.85882e+07ns +8.36975e+08ns +5.35051e+07ns +0ns
+0ns +2.85732e+07ns +0ns +1.01735e+08ns +9.01786e+08ns +7.06124e+07ns +0ns
+0ns +5.21107e+07ns +0ns +9.61578e+07ns +9.25754e+08ns +9.88351e+07ns +0ns
