+0ns +1.00716e+08ns +0ns +2.07168e+06ns +3.22027e+08ns +0ns +0ns
+0ns +1.03074e+08ns +0ns +764928ns +3.38409e+08ns +2.89238e+06ns +0ns
+0ns +1.32667e+08ns +0ns +1.91232e+06ns +3.94057e+08ns +1.51631e+07ns +0ns
+0ns +1.63958e+08ns +0ns +1.35775e+07ns +5.06167e+08ns +4.12344e+07ns +0ns
+0ns +1.6336e+08ns +0ns +1.09002e+07ns +5.08327e+08ns +6.47559e+07ns +0ns
+0ns +1.39217e+08ns +0ns +0ns +5.00932e+08ns +0ns +0ns
+0ns +1.2505e+08ns +0ns +501984ns +4.93235e+08ns +2.73462e+07ns +0ns
+0ns +1.03337e+08ns +0ns +2.53382e+06ns +4.96892e+08ns +8.85882e+07ns +0ns
+0ns +1.08484e+08ns +0ns +2.53382e+06ns +4.78319e+08ns +1.19855e+08ns +0ns
+0ns +8.8636e+07ns +0ns +223104ns +5.27721e+08ns +1.5383e+08ns +0ns
+0ns +1.34556e+08ns +0ns +0ns +5.17474e+08ns +1.54523e+08ns +0ns
+0ns +9.68192e+07ns +0ns +1.84061e+06ns +5.61019e+08ns +1.19082e+08ns +0ns
+0ns +1.02245e+08ns +0ns +1.45018e+07ns +6.70507e+08ns +6.39193e+07ns +0ns
+0ns +8.48592e+07ns +0ns +4.5816e+07ns +7.07463e+08ns +4.75451e+07ns +0ns
+0ns +8.05565e+07ns +0ns +4.06049e+07ns +8.22489e+08ns +4.7298e+07ns +0ns
+0ns +1.10596e+08ns +0ns +3.63341e+07ns +7.46506e+08ns +4.93618e+07ns +0ns
+0ns +1.45304e+08ns +0ns +3.87245e+06ns +6.7026e+08ns +6.18157e+07ns +0ns
+0ns +9.83092e+07ns +0ns +3.10354e+07ns +5.54692e+08ns +1.13855e+08ns +0ns
+0ns +1.38763e+08ns +0ns +2.00953e+07ns +5.98174e+08ns +1.29424e+08ns +0ns
+0ns +1.1697e+08ns +0ns +4.36009e+07ns +6.28715e+08ns +1.34141e+08ns +0ns
+0ns +1.08492e+08ns +0ns +3.89476e+07ns +7.24961e+08ns +1.28835e+08ns +0ns
+0ns +1.33416e+08ns +0ns +5.60788e+07ns +7.2171e+08ns +1.2854e+08ns +0ns
+0ns +1.46484e+08ns +0ns +7.95525e+07ns +7.68609e+08ns +6.89073e+07ns +0ns
+0ns +1.7775e+08ns +0ns +4.47005e+07ns +7.36243e+08ns +6.23098e+07ns +0ns
+0ns +1.50755e+08ns +0ns +4.30591e+07ns +8.08784e+08ns +4.47483e+07ns +0ns
+0ns +1.26261e+08ns +0ns +3.23421e+07ns +8.44664e+08ns +5.53617e+07ns +0ns
+0ns +1.30827e+08ns +0ns +2.46291e+07ns +8.13883e+08ns +5.92341e+07ns +0ns
+0ns +1.03249e+08ns +0ns +2.45414e+07ns +8.70536e+08ns +7.92816e+07ns +0ns
+0ns +9.8612e+07ns +0ns +6.13536e+06ns +9.09348e+08ns +6.80148e+07ns +0ns
+0ns +8.92814e+07ns +0ns +3.59994e+07ns +8.95093e+08ns +6.50348e+07ns +0ns
+0ns +8.14728e+07ns +0ns +3.93619e+07ns +9.26949e+08ns +6.27878e+07ns +0ns
+0ns +5.65728e+07ns +0ns +9.61738e+07ns +8.59588e+08ns +8.12736e+07ns +0ns
+0ns +4.84454e+07ns +0ns +9.55204e+07ns +9.49754e+08ns +1.10405e+08ns +0ns
+0ns +8.62058e+07ns +0ns +7.41502e+07ns +9.81307e+08ns +1.34739e+08ns +0ns
